soc_code,occ_title,emp_2024,emp_2034,pct_chg_2024_2034,openings_2024_2034,median_wage_2024,education_2024,emp_2021,emp_2031,pct_chg_2021_2031,openings_2021_2031,bls_merge,revision_pp,aioe_felten,gpts_dv_rating_alpha,gpts_dv_rating_beta,gpts_dv_rating_gamma,gpts_human_rating_alpha,gpts_human_rating_beta,gpts_human_rating_gamma,aei_observed_exposure,n_onet_tasks,mean_task_importance,aei_claude_usage_share,gpts_task_alpha_mean,gpts_task_beta_mean,gpts_task_gamma_mean,kmeans_cluster,kmeans_silhouette,gmm_cluster,gmm_max_prob,gmm_prob_0,gmm_prob_1,gmm_prob_2,gmm_prob_3,gmm_prob_4,gmm_prob_5,gmm_prob_6,ward_cluster,dbscan_cluster,dbscan_noise,pca1,pca2,feat_ai_exposure,feat_llm_exposure,feat_log_claude_usage,feat_aioe_felten,feat_growth_pre,feat_log_employment,feat_log_wage,feat_n_onet_tasks,feat_mean_task_importance
11-1011,Chief executives,309.4,322.7,4.3,22.2,206420.0,Bachelor's degree,283.9,263.3,-7.3,17.7,both_vintages,11.6,1.334246,0.1333333333333333,0.5077777777777778,0.8822222222222222,0.1177777777777777,0.3694444444444443,0.6211111111111112,0.0333,49.0,3.8797959183673463,0.164845999942483,0.1224489795918367,0.4897959183673469,0.8571428571428571,0,0.15817946836127614,1,0.9953919617134711,0.00031769984683043526,0.9953919617134711,0.0,0.004290338379971641,5.972665884363731e-11,2.9720930262077726e-166,0.0,2,-1,True,2.0553760399665477,-0.3061420123323945,0.0333,0.3694444444444443,0.15258888938936993,1.334246,-7.3,5.573294066502264,12.237668207119924,49.0,3.8797959183673463
11-1021,General and operations managers,3712.9,3876.8,4.4,308.7,102950.0,Bachelor's degree,3118.4,3328.2,6.7,300.4,both_vintages,-2.3,0.5748773,0.0,0.4807692307692308,0.9615384615384616,0.1153846153846153,0.3846153846153846,0.6538461538461539,0.1378,17.0,3.695882352941176,0.0347152323866413,0.0,0.4705882352941176,0.9411764705882352,0,0.11908138818745669,1,0.9967359322590168,0.0010876770721204283,0.9967359322590168,0.0,0.000435153184993943,0.0017412374838692629,4.645056603763537e-19,0.0,2,-1,True,1.554690776270873,1.1958436605766924,0.1378,0.3846153846153846,0.03412625106930158,0.5748773,6.7,8.110186896289244,11.541998712455936,17.0,3.695882352941176
11-1031,Legislators,27.7,28.6,3.4,2.2,44810.0,Bachelor's degree,45.5,47.0,3.3,3.8,both_vintages,0.1,,0.0333333333333333,0.4,0.7666666666666666,0.2666666666666666,0.5166666666666666,0.7666666666666666,0.0,30.0,,0.0234173756927638,0.0333333333333333,0.4,0.7666666666666667,1,0.1792760095134891,2,0.9996444626777632,1.8760136622884162e-05,0.00022185666544055562,0.9996444626777632,5.785729774164842e-15,2.493508430457482e-05,8.998543586304314e-05,0.0,2,0,False,-0.0426355255802472,0.13131223253253266,0.0,0.5166666666666666,0.023147395642967878,-0.1260282,3.3,3.8501476017100584,10.710186607780189,30.0,4.019375
11-2011,Advertising and promotions managers,27.0,26.4,-2.2,2.1,126960.0,Bachelor's degree,28.0,30.0,7.1,3.0,both_vintages,-9.3,1.294387,0.0,0.4767441860465116,0.9534883720930232,0.2558139534883721,0.5465116279069767,0.8372093023255813,0.1731,30.0,3.691904761904762,0.160737688417437,0.0,0.4666666666666667,0.9333333333333332,0,0.3075836328679781,1,0.9894362273004226,4.936270032283939e-07,0.9894362273004226,0.0,0.0007812328683516958,0.009782046204222941,3.937971966932264e-182,0.0,2,0,False,2.5031648194045837,-0.8385532352398163,0.1731,0.5465116279069767,0.14905574128609966,1.294387,7.1,3.4011973816621555,11.751627355200291,30.0,3.691904761904762
11-2021,Marketing managers,407.0,433.7,6.6,34.3,161030.0,Bachelor's degree,319.0,350.7,9.9,32.2,both_vintages,-3.3000000000000007,1.315032,0.0625,0.5,0.9375,0.21875,0.578125,0.9375,0.3195,20.0,3.4295,0.0513538940630786,0.05,0.5,0.95,0,0.28160597405761467,1,0.9912383715332975,1.6631614913611697e-14,0.9912383715332975,0.0,0.00014970135588677995,0.008611927110798903,2.6309100942037967e-100,0.0,2,-1,True,3.4033351093685646,-0.05222870938749223,0.3195,0.578125,0.050078756494832746,1.315032,9.9,5.859931157146132,11.989345962012042,20.0,3.4295
11-2022,Sales managers,619.5,648.5,4.7,49.0,138060.0,Bachelor's degree,469.8,493.6,5.1,41.9,both_vintages,-0.3999999999999994,1.26628,0.0,0.45,0.9,0.1,0.4833333333333333,0.8666666666666667,0.0433,17.0,3.7294117647058815,0.0244444535740255,0.0,0.4411764705882353,0.8823529411764706,0,0.19755872430156174,1,0.9259519829992325,0.07341698265805975,0.9259519829992325,0.0,0.0003186786436298767,0.0002807454581633502,3.161024091522588e-05,0.0,2,0,False,1.791202140504467,-0.15590775368646914,0.0433,0.4833333333333333,0.024150469144021594,1.26628,5.1,6.201725472591178,11.835443652257467,17.0,3.7294117647058815
11-2032,Public relations managers,83.2,87.3,5.0,6.6,138520.0,Bachelor's degree,66.7,71.7,7.6,6.1,both_vintages,-2.6,,0.15,0.55,0.95,0.25,0.5750000000000001,0.9,0.2315,20.0,,0.1449206890460086,0.15,0.55,0.95,0,0.1773133816858346,1,0.9951618141080861,1.5597570556257684e-11,0.9951618141080861,0.0,0.004542587917988868,0.000295597958327207,3.855261176427766e-160,0.0,2,-1,True,1.7740061547725392,-0.6065544256755397,0.2315,0.5750000000000001,0.13533536739839297,-0.1260282,7.6,4.272490747605575,11.838769998516359,20.0,4.019375
11-2033,Fundraising managers,45.7,47.6,4.2,3.6,123480.0,Bachelor's degree,31.4,34.5,9.7,3.0,both_vintages,-5.499999999999999,,0.125,0.5625,1.0,0.25,0.5,0.75,,16.0,3.741875,0.1523156497910922,0.125,0.5625,1.0,0,0.05805447689412304,1,0.9906588101855712,0.005494201991808641,0.9906588101855712,2.866152379823497e-76,0.000890596635692175,0.002956391186928187,2.3354351173986814e-115,0.0,2,0,False,0.9721910937154157,-0.6135709207450438,0.0,0.5,0.14177352629689666,-0.1260282,9.7,3.5409593240373143,11.723834478616096,16.0,3.741875
11-3012,Administrative services managers,271.2,283.8,4.6,23.2,108390.0,Bachelor's degree,239.0,255.1,6.7,22.0,both_vintages,-2.1000000000000005,,0.0869565217391304,0.3913043478260869,0.6956521739130435,0.2608695652173913,0.5,0.7391304347826086,0.0,18.0,3.655,0.0,0.1111111111111111,0.4166666666666667,0.7222222222222222,0,0.039876777283724636,2,0.9995563463953726,1.6600689060047657e-07,0.00044266406462241365,0.9995563463953726,2.5068331289469545e-07,5.728243799613581e-07,2.542127710126186e-11,1.8074331946713195e-16,2,0,False,0.8655598332661022,0.2516064187306102,0.0,0.5,0.0,-0.1260282,6.7,5.541655625147766,11.593491112809795,18.0,3.655
11-3013,Facilities managers,151.4,157.1,3.8,13.2,104690.0,Bachelor's degree,109.1,116.6,6.9,9.9,both_vintages,-3.1000000000000005,,0.0357142857142857,0.4001623376623376,0.7646103896103895,0.1704545454545454,0.4042207792207792,0.637987012987013,0.1345,39.0,3.968461538461539,0.2007937257866385,0.0512820512820512,0.4358974358974359,0.8205128205128205,0,0.07729140160085918,1,0.9992953839663392,1.48756321542631e-06,0.9992953839663392,0.0,0.0006999036887935212,3.224781652696342e-06,5.795311254296467e-237,0.0,2,0,False,1.2653307374756928,0.4412420672061195,0.1345,0.4042207792207792,0.18298277629568194,-0.1260282,6.9,4.758749273916392,11.5587588813134,39.0,3.968461538461539
